"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"AA","AAL","AA6891","AAL6891","6891","LHR","EGLL","5","2023-06-07 15:00","CDG","LFPG",NA,80
"AA","AAL","AA7043","AAL7043","7043","LHR","EGLL","5","2023-06-07 15:00","OPO","LPPR",NA,140
"AA","AAL","AA6667","AAL6667","6667","LHR","EGLL","5","2023-06-07 15:00","HYD","VOHS",NA,585
"AA","AAL","AA6729","AAL6729","6729","LHR","EGLL","5","2023-06-07 15:00","MUC","EDDM",NA,125
"MS","MSR","MS778","MSR778","778","LHR","EGLL","2","2023-06-07 15:00","CAI","HECA",NA,280
"LA","LAN","LA5492","LAN5492","5492","LHR","EGLL","5","2023-06-07 14:25","LYS","LFLL",37,100
"AC","ACA","AC6184","ACA6184","6184","LHR","EGLL","2","2023-06-07 15:05","VIE","LOWW",NA,135
"VA","VOZ","VA6107","VOZ6107","6107","LHR","EGLL","4","2023-06-07 15:05","DOH","OTHH",NA,405
"AA","AAL","AA6520","AAL6520","6520","LHR","EGLL","5","2023-06-07 15:05","MXP","LIMC",NA,120
"IB","IBE","IB7758","IBE7758","7758","LHR","EGLL","5","2023-06-07 15:05","BNA","KBNA",NA,540
"QR","QTR","QR5903","QTR5903","5903","LHR","EGLL","5","2023-06-07 15:10","LIS","LPPT",NA,165
"AF","AFR","AF3678","AFR3678","3678","LHR","EGLL","3","2023-06-07 15:10","SLC","KSLC",NA,630
"QR","QTR","QR5953","QTR5953","5953","LHR","EGLL","5","2023-06-07 15:10","DUB","EIDW",NA,90
"JL","JAL","JL7157","JAL7157","7157","LHR","EGLL","5","2023-06-07 15:10","BLQ","LIPE",NA,130
"AY","FIN","AY5423","FIN5423","5423","LHR","EGLL","5","2023-06-07 15:15","SJC","KSJC",NA,660
"JL","JAL","JL7783","JAL7783","7783","LHR","EGLL","5","2023-06-07 15:15","EDI","EGPH",NA,85
